route,date,daytype,rides
54B,01/03/2014,W,2349
55,01/03/2014,W,8192
55A,01/03/2014,W,190
55N,01/03/2014,W,319
56,01/03/2014,W,8047
57,01/03/2014,W,3307
59,01/03/2014,W,2542
6,01/03/2014,W,8738
60,01/03/2014,W,7947
62,01/03/2014,W,7923
62H,01/03/2014,W,603
63,01/03/2014,W,13080
63W,01/03/2014,W,997
65,01/03/2014,W,6759
66,01/03/2014,W,21796
67,01/03/2014,W,9443
68,01/03/2014,W,790
7,01/03/2014,W,3593
70,01/03/2014,W,7404
71,01/03/2014,W,6690
72,01/03/2014,W,12732
73,01/03/2014,W,3726
74,01/03/2014,W,10435
75,01/03/2014,W,5769
76,01/03/2014,W,10436
77,01/03/2014,W,18308
78,01/03/2014,W,6832
79,01/03/2014,W,20240
8,01/03/2014,W,15040
80,01/03/2014,W,10546
81,01/03/2014,W,10562
81W,01/03/2014,W,1227
82,01/03/2014,W,13835
84,01/03/2014,W,2868
85,01/03/2014,W,8197
85A,01/03/2014,W,716
86,01/03/2014,W,1081
87,01/03/2014,W,9820
88,01/03/2014,W,893
8A,01/03/2014,W,2269
9,01/03/2014,W,21639
90,01/03/2014,W,3851
91,01/03/2014,W,5315
92,01/03/2014,W,5113
93,01/03/2014,W,2434
94,01/03/2014,W,6620
95E,01/03/2014,W,2791
95W,01/03/2014,W,2058
96,01/03/2014,W,607
97,01/03/2014,W,2749
J14,01/03/2014,W,9147
X98,01/03/2014,W,8
10,01/04/2014,A,452
1001,01/04/2014,A,5
103,01/04/2014,A,1113
106,01/04/2014,A,497
11,01/04/2014,A,818
111,01/04/2014,A,1727
111A,01/04/2014,A,147
112,01/04/2014,A,889
115,01/04/2014,A,1655
119,01/04/2014,A,2798
12,01/04/2014,A,7422
124,01/04/2014,A,845
126,01/04/2014,A,2394
146,01/04/2014,A,9142
147,01/04/2014,A,8432
15,01/04/2014,A,4238
151,01/04/2014,A,13959
152,01/04/2014,A,3903
155,01/04/2014,A,5091
169,01/04/2014,A,34
171,01/04/2014,A,169
172,01/04/2014,A,279
18,01/04/2014,A,2271
19,01/04/2014,A,260
20,01/04/2014,A,9845
201,01/04/2014,A,964
21,01/04/2014,A,5523
22,01/04/2014,A,15707
28,01/04/2014,A,3145
29,01/04/2014,A,7779
3,01/04/2014,A,10659
30,01/04/2014,A,1611
34,01/04/2014,A,3267
35,01/04/2014,A,2365
36,01/04/2014,A,13900
4,01/04/2014,A,11793
43,01/04/2014,A,851
44,01/04/2014,A,1735
47,01/04/2014,A,6450
49,01/04/2014,A,14680
49B,01/04/2014,A,2903
5,01/04/2014,A,425
50,01/04/2014,A,5628
51,01/04/2014,A,862
52,01/04/2014,A,6459
52A,01/04/2014,A,1923
53,01/04/2014,A,10986
53A,01/04/2014,A,2646
54,01/04/2014,A,7459
54B,01/04/2014,A,2353
55,01/04/2014,A,6378
55N,01/04/2014,A,119
56,01/04/2014,A,5119
57,01/04/2014,A,2159
59,01/04/2014,A,1709
6,01/04/2014,A,7813
60,01/04/2014,A,4666
62,01/04/2014,A,5403
62H,01/04/2014,A,449
63,01/04/2014,A,9736
63W,01/04/2014,A,522
65,01/04/2014,A,3639
66,01/04/2014,A,12699
67,01/04/2014,A,7319
68,01/04/2014,A,508
70,01/04/2014,A,5491
71,01/04/2014,A,6007
72,01/04/2014,A,10639
73,01/04/2014,A,1747
74,01/04/2014,A,7949
75,01/04/2014,A,4551
76,01/04/2014,A,6848
77,01/04/2014,A,13346
78,01/04/2014,A,4442
79,01/04/2014,A,16325
8,01/04/2014,A,10904
80,01/04/2014,A,7481
81,01/04/2014,A,8162
81W,01/04/2014,A,770
82,01/04/2014,A,9366
84,01/04/2014,A,1748
85,01/04/2014,A,5726
85A,01/04/2014,A,295
87,01/04/2014,A,7920
88,01/04/2014,A,559
8A,01/04/2014,A,1892
9,01/04/2014,A,16121
90,01/04/2014,A,3196
91,01/04/2014,A,3336
92,01/04/2014,A,3384
93,01/04/2014,A,1240
94,01/04/2014,A,4121
95E,01/04/2014,A,2060
95W,01/04/2014,A,1687
