route,date,daytype,rides
91,04/29/2014,W,7443
92,04/29/2014,W,7616
93,04/29/2014,W,3652
94,04/29/2014,W,10207
95E,04/29/2014,W,4350
95W,04/29/2014,W,2584
96,04/29/2014,W,620
97,04/29/2014,W,3181
J14,04/29/2014,W,12588
X98,04/29/2014,W,24
1,04/30/2014,W,1905
100,04/30/2014,W,692
1001,04/30/2014,W,4
103,04/30/2014,W,2898
106,04/30/2014,W,2312
108,04/30/2014,W,1525
11,04/30/2014,W,1744
111,04/30/2014,W,3680
111A,04/30/2014,W,154
112,04/30/2014,W,2577
115,04/30/2014,W,3703
119,04/30/2014,W,5066
12,04/30/2014,W,15087
120,04/30/2014,W,1145
121,04/30/2014,W,1511
124,04/30/2014,W,977
125,04/30/2014,W,1710
126,04/30/2014,W,6349
132,04/30/2014,W,354
134,04/30/2014,W,3612
135,04/30/2014,W,3765
136,04/30/2014,W,2213
143,04/30/2014,W,1988
146,04/30/2014,W,14793
147,04/30/2014,W,13940
148,04/30/2014,W,2280
15,04/30/2014,W,7744
151,04/30/2014,W,18026
152,04/30/2014,W,10791
155,04/30/2014,W,7168
156,04/30/2014,W,8570
157,04/30/2014,W,6179
165,04/30/2014,W,117
169,04/30/2014,W,262
170,04/30/2014,W,347
171,04/30/2014,W,1477
172,04/30/2014,W,2948
18,04/30/2014,W,4432
192,04/30/2014,W,980
2,04/30/2014,W,3402
20,04/30/2014,W,19069
201,04/30/2014,W,1826
205,04/30/2014,W,955
206,04/30/2014,W,891
21,04/30/2014,W,9199
22,04/30/2014,W,20247
24,04/30/2014,W,3212
26,04/30/2014,W,3729
28,04/30/2014,W,7605
29,04/30/2014,W,13950
3,04/30/2014,W,20077
30,04/30/2014,W,3485
34,04/30/2014,W,5434
35,04/30/2014,W,5664
36,04/30/2014,W,13835
37,04/30/2014,W,1872
39,04/30/2014,W,2120
4,04/30/2014,W,22071
43,04/30/2014,W,1810
44,04/30/2014,W,3985
47,04/30/2014,W,10518
48,04/30/2014,W,1214
49,04/30/2014,W,24880
49B,04/30/2014,W,5881
5,04/30/2014,W,430
50,04/30/2014,W,11047
51,04/30/2014,W,1888
52,04/30/2014,W,13455
52A,04/30/2014,W,4803
53,04/30/2014,W,20083
53A,04/30/2014,W,8762
54,04/30/2014,W,11584
54A,04/30/2014,W,955
54B,04/30/2014,W,3375
55,04/30/2014,W,11405
55A,04/30/2014,W,353
55N,04/30/2014,W,643
56,04/30/2014,W,9720
57,04/30/2014,W,4970
59,04/30/2014,W,3948
6,04/30/2014,W,11367
60,04/30/2014,W,11385
62,04/30/2014,W,11313
62H,04/30/2014,W,890
63,04/30/2014,W,18755
63W,04/30/2014,W,1380
65,04/30/2014,W,8648
66,04/30/2014,W,24844
67,04/30/2014,W,13200
68,04/30/2014,W,1304
7,04/30/2014,W,6518
70,04/30/2014,W,9219
71,04/30/2014,W,8506
72,04/30/2014,W,16378
73,04/30/2014,W,4275
74,04/30/2014,W,13265
75,04/30/2014,W,7599
76,04/30/2014,W,12608
77,04/30/2014,W,23233
78,04/30/2014,W,9887
79,04/30/2014,W,26638
8,04/30/2014,W,24091
80,04/30/2014,W,14305
81,04/30/2014,W,13143
81W,04/30/2014,W,1783
82,04/30/2014,W,19471
84,04/30/2014,W,4318
85,04/30/2014,W,11405
85A,04/30/2014,W,978
86,04/30/2014,W,3286
87,04/30/2014,W,12903
88,04/30/2014,W,1481
8A,04/30/2014,W,3490
9,04/30/2014,W,27545
90,04/30/2014,W,5227
91,04/30/2014,W,7684
92,04/30/2014,W,7008
93,04/30/2014,W,3652
94,04/30/2014,W,10004
95E,04/30/2014,W,3932
95W,04/30/2014,W,2616
96,04/30/2014,W,872
97,04/30/2014,W,3184
J14,04/30/2014,W,11944
X98,04/30/2014,W,22
1,05/01/2014,W,2269
100,05/01/2014,W,752
1001,05/01/2014,W,3
103,05/01/2014,W,3007
106,05/01/2014,W,2260
108,05/01/2014,W,1443
11,05/01/2014,W,1837
111,05/01/2014,W,3920
111A,05/01/2014,W,185
112,05/01/2014,W,2791
115,05/01/2014,W,4045
119,05/01/2014,W,5893
12,05/01/2014,W,15921
120,05/01/2014,W,1392
121,05/01/2014,W,1663
124,05/01/2014,W,941
125,05/01/2014,W,1678
126,05/01/2014,W,7567
132,05/01/2014,W,347
134,05/01/2014,W,3603
135,05/01/2014,W,3691
136,05/01/2014,W,2196
143,05/01/2014,W,1845
146,05/01/2014,W,15082
147,05/01/2014,W,15277
148,05/01/2014,W,2561
15,05/01/2014,W,8901
151,05/01/2014,W,18558
152,05/01/2014,W,10894
155,05/01/2014,W,6941
156,05/01/2014,W,9155
157,05/01/2014,W,7006
165,05/01/2014,W,119
169,05/01/2014,W,247
170,05/01/2014,W,198
171,05/01/2014,W,1634
172,05/01/2014,W,2763
18,05/01/2014,W,4662
192,05/01/2014,W,848
2,05/01/2014,W,3688
20,05/01/2014,W,21602
201,05/01/2014,W,2078
205,05/01/2014,W,919
206,05/01/2014,W,909
21,05/01/2014,W,9832
22,05/01/2014,W,20850
24,05/01/2014,W,3389
26,05/01/2014,W,3757
28,05/01/2014,W,8440
29,05/01/2014,W,15835
3,05/01/2014,W,21225
30,05/01/2014,W,3735
34,05/01/2014,W,5665
35,05/01/2014,W,6378
36,05/01/2014,W,15960
37,05/01/2014,W,1745
39,05/01/2014,W,2456
4,05/01/2014,W,23237
43,05/01/2014,W,2189
44,05/01/2014,W,4308
47,05/01/2014,W,11868
48,05/01/2014,W,1273
49,05/01/2014,W,26548
49B,05/01/2014,W,5856
5,05/01/2014,W,479
50,05/01/2014,W,11402
51,05/01/2014,W,1897
52,05/01/2014,W,13619
52A,05/01/2014,W,5144
53,05/01/2014,W,21979
53A,05/01/2014,W,9217
54,05/01/2014,W,12979
54A,05/01/2014,W,1009
54B,05/01/2014,W,3885
55,05/01/2014,W,12265
55A,05/01/2014,W,344
55N,05/01/2014,W,617
56,05/01/2014,W,10828
57,05/01/2014,W,5572
59,05/01/2014,W,4263
6,05/01/2014,W,12005
60,05/01/2014,W,12137
62,05/01/2014,W,11708
62H,05/01/2014,W,1005
63,05/01/2014,W,19648
63W,05/01/2014,W,1406
65,05/01/2014,W,9088
66,05/01/2014,W,27126
67,05/01/2014,W,13621
68,05/01/2014,W,1464
7,05/01/2014,W,6433
70,05/01/2014,W,10474
71,05/01/2014,W,9963
72,05/01/2014,W,18089
73,05/01/2014,W,4593
74,05/01/2014,W,14306
75,05/01/2014,W,7653
76,05/01/2014,W,13588
77,05/01/2014,W,23324
78,05/01/2014,W,9707
79,05/01/2014,W,28972
8,05/01/2014,W,24330
80,05/01/2014,W,14806
81,05/01/2014,W,12267
81W,05/01/2014,W,1822
82,05/01/2014,W,20625
84,05/01/2014,W,4514
85,05/01/2014,W,11785
85A,05/01/2014,W,999
86,05/01/2014,W,3442
87,05/01/2014,W,14816
88,05/01/2014,W,1555
8A,05/01/2014,W,3824
9,05/01/2014,W,30557
90,05/01/2014,W,5091
91,05/01/2014,W,7892
92,05/01/2014,W,7233
93,05/01/2014,W,3902
94,05/01/2014,W,10239
95E,05/01/2014,W,4447
95W,05/01/2014,W,2917
96,05/01/2014,W,694
97,05/01/2014,W,3466
J14,05/01/2014,W,12974
X98,05/01/2014,W,21
1,05/02/2014,W,1940
100,05/02/2014,W,903
1001,05/02/2014,W,3
103,05/02/2014,W,2987
106,05/02/2014,W,1862
108,05/02/2014,W,1639
11,05/02/2014,W,1538
111,05/02/2014,W,4104
111A,05/02/2014,W,264
112,05/02/2014,W,2707
115,05/02/2014,W,4377
119,05/02/2014,W,5475
12,05/02/2014,W,16228
120,05/02/2014,W,999
121,05/02/2014,W,1403
124,05/02/2014,W,1015
125,05/02/2014,W,1526
126,05/02/2014,W,6705
132,05/02/2014,W,285
134,05/02/2014,W,3220
135,05/02/2014,W,3494
136,05/02/2014,W,2079
143,05/02/2014,W,1893
146,05/02/2014,W,15367
147,05/02/2014,W,14142
148,05/02/2014,W,2323
15,05/02/2014,W,8855
151,05/02/2014,W,19007
152,05/02/2014,W,12221
155,05/02/2014,W,7725
156,05/02/2014,W,7986
157,05/02/2014,W,6696
165,05/02/2014,W,127
169,05/02/2014,W,262
170,05/02/2014,W,266
171,05/02/2014,W,1359
172,05/02/2014,W,2113
18,05/02/2014,W,4609
19,05/02/2014,W,123
192,05/02/2014,W,818
2,05/02/2014,W,2855
20,05/02/2014,W,20949
201,05/02/2014,W,2021
205,05/02/2014,W,921
206,05/02/2014,W,862
21,05/02/2014,W,9815
22,05/02/2014,W,21153
24,05/02/2014,W,3393
26,05/02/2014,W,3365
28,05/02/2014,W,8490
29,05/02/2014,W,16342
3,05/02/2014,W,21503
30,05/02/2014,W,3939
34,05/02/2014,W,5793
35,05/02/2014,W,6364
36,05/02/2014,W,14787
37,05/02/2014,W,1627
39,05/02/2014,W,2174
4,05/02/2014,W,24427
43,05/02/2014,W,2099
44,05/02/2014,W,4591
47,05/02/2014,W,10435
48,05/02/2014,W,1291
49,05/02/2014,W,28156
49B,05/02/2014,W,5719
5,05/02/2014,W,567
50,05/02/2014,W,11223
51,05/02/2014,W,2014
52,05/02/2014,W,13448
52A,05/02/2014,W,4754
53,05/02/2014,W,21672
53A,05/02/2014,W,8351
54,05/02/2014,W,12983
54A,05/02/2014,W,1019
54B,05/02/2014,W,4267
55,05/02/2014,W,12965
55A,05/02/2014,W,324
55N,05/02/2014,W,578
56,05/02/2014,W,10384
57,05/02/2014,W,4950
59,05/02/2014,W,4191
6,05/02/2014,W,12478
60,05/02/2014,W,11761
62,05/02/2014,W,11436
62H,05/02/2014,W,1094
63,05/02/2014,W,19755
63W,05/02/2014,W,1319
65,05/02/2014,W,9433
66,05/02/2014,W,27215
67,05/02/2014,W,13678
68,05/02/2014,W,1399
7,05/02/2014,W,6213
70,05/02/2014,W,9975
71,05/02/2014,W,10281
72,05/02/2014,W,18288
73,05/02/2014,W,4432
74,05/02/2014,W,14977
75,05/02/2014,W,8729
76,05/02/2014,W,12554
77,05/02/2014,W,22477
78,05/02/2014,W,8653
79,05/02/2014,W,29925
8,05/02/2014,W,25434
80,05/02/2014,W,14932
81,05/02/2014,W,13449
81W,05/02/2014,W,1820
82,05/02/2014,W,20118
84,05/02/2014,W,4407
85,05/02/2014,W,11746
85A,05/02/2014,W,960
86,05/02/2014,W,2747
87,05/02/2014,W,15324
88,05/02/2014,W,1524
8A,05/02/2014,W,3918
9,05/02/2014,W,31381
90,05/02/2014,W,5368
91,05/02/2014,W,7912
92,05/02/2014,W,7492
93,05/02/2014,W,3890
94,05/02/2014,W,10126
95E,05/02/2014,W,4157
95W,05/02/2014,W,2868
96,05/02/2014,W,844
97,05/02/2014,W,3423
J14,05/02/2014,W,12891
X98,05/02/2014,W,18
10,05/03/2014,A,704
1001,05/03/2014,A,2254
103,05/03/2014,A,1461
106,05/03/2014,A,769
11,05/03/2014,A,1227
111,05/03/2014,A,2422
111A,05/03/2014,A,185
112,05/03/2014,A,1441
115,05/03/2014,A,2692
119,05/03/2014,A,4347
12,05/03/2014,A,10827
124,05/03/2014,A,1011
126,05/03/2014,A,3907
146,05/03/2014,A,12753
147,05/03/2014,A,11181
15,05/03/2014,A,6011
151,05/03/2014,A,16299
152,05/03/2014,A,6308
155,05/03/2014,A,6161
169,05/03/2014,A,16
171,05/03/2014,A,496
172,05/03/2014,A,523
18,05/03/2014,A,2928
20,05/03/2014,A,11972
201,05/03/2014,A,1257
21,05/03/2014,A,8736
22,05/03/2014,A,15815
28,05/03/2014,A,4211
29,05/03/2014,A,10968
3,05/03/2014,A,14863
30,05/03/2014,A,2674
34,05/03/2014,A,3585
35,05/03/2014,A,3334
36,05/03/2014,A,16844
4,05/03/2014,A,16393
43,05/03/2014,A,587
44,05/03/2014,A,2153
47,05/03/2014,A,8806
49,05/03/2014,A,19248
49B,05/03/2014,A,4151
5,05/03/2014,A,560
50,05/03/2014,A,6971
51,05/03/2014,A,1261
52,05/03/2014,A,9590
52A,05/03/2014,A,2772
53,05/03/2014,A,15074
53A,05/03/2014,A,4089
54,05/03/2014,A,10189
54B,05/03/2014,A,3682
55,05/03/2014,A,9159
55N,05/03/2014,A,189
56,05/03/2014,A,7092
57,05/03/2014,A,3070
59,05/03/2014,A,2214
6,05/03/2014,A,10964
60,05/03/2014,A,6684
62,05/03/2014,A,8414
62H,05/03/2014,A,589
63,05/03/2014,A,13723
63W,05/03/2014,A,701
65,05/03/2014,A,4899
66,05/03/2014,A,16830
67,05/03/2014,A,10026
68,05/03/2014,A,616
70,05/03/2014,A,7080
71,05/03/2014,A,7302
72,05/03/2014,A,15111
73,05/03/2014,A,2465
74,05/03/2014,A,11334
75,05/03/2014,A,6556
76,05/03/2014,A,8437
77,05/03/2014,A,16261
78,05/03/2014,A,6089
79,05/03/2014,A,21422
8,05/03/2014,A,14460
80,05/03/2014,A,10418
81,05/03/2014,A,10977
81W,05/03/2014,A,1159
82,05/03/2014,A,13418
84,05/03/2014,A,2377
85,05/03/2014,A,7649
85A,05/03/2014,A,360
87,05/03/2014,A,9904
88,05/03/2014,A,610
8A,05/03/2014,A,2950
9,05/03/2014,A,21553
90,05/03/2014,A,4263
91,05/03/2014,A,4622
92,05/03/2014,A,4210
93,05/03/2014,A,1677
94,05/03/2014,A,5024
95E,05/03/2014,A,3024
95W,05/03/2014,A,2034
97,05/03/2014,A,2486
J14,05/03/2014,A,7162
10,05/04/2014,U,576
1001,05/04/2014,U,243
103,05/04/2014,U,1238
106,05/04/2014,U,259
11,05/04/2014,U,803
111,05/04/2014,U,1768
111A,05/04/2014,U,153
112,05/04/2014,U,860
115,05/04/2014,U,2039
119,05/04/2014,U,2961
12,05/04/2014,U,8035
124,05/04/2014,U,630
126,05/04/2014,U,2639
146,05/04/2014,U,9434
147,05/04/2014,U,7688
15,05/04/2014,U,4295
151,05/04/2014,U,12870
152,05/04/2014,U,3954
155,05/04/2014,U,4713
171,05/04/2014,U,297
172,05/04/2014,U,353
18,05/04/2014,U,2283
19,05/04/2014,U,214
20,05/04/2014,U,8785
21,05/04/2014,U,4917
22,05/04/2014,U,13702
28,05/04/2014,U,2564
29,05/04/2014,U,8049
3,05/04/2014,U,9215
30,05/04/2014,U,764
34,05/04/2014,U,2748
35,05/04/2014,U,2217
36,05/04/2014,U,12541
4,05/04/2014,U,11196
43,05/04/2014,U,544
44,05/04/2014,U,1531
47,05/04/2014,U,5976
49,05/04/2014,U,11904
49B,05/04/2014,U,2965
5,05/04/2014,U,510
50,05/04/2014,U,4053
51,05/04/2014,U,902
52,05/04/2014,U,6420
52A,05/04/2014,U,1446
53,05/04/2014,U,10084
53A,05/04/2014,U,2474
54,05/04/2014,U,6875
54B,05/04/2014,U,2246
55,05/04/2014,U,6510
56,05/04/2014,U,4503
57,05/04/2014,U,1949
6,05/04/2014,U,8049
60,05/04/2014,U,5153
62,05/04/2014,U,5636
63,05/04/2014,U,9540
63W,05/04/2014,U,567
65,05/04/2014,U,3045
66,05/04/2014,U,11297
67,05/04/2014,U,7245
68,05/04/2014,U,438
70,05/04/2014,U,4222
71,05/04/2014,U,5475
72,05/04/2014,U,9429
73,05/04/2014,U,1183
74,05/04/2014,U,7627
75,05/04/2014,U,4442
76,05/04/2014,U,5353
77,05/04/2014,U,11093
78,05/04/2014,U,4174
79,05/04/2014,U,14736
8,05/04/2014,U,10848
80,05/04/2014,U,7054
81,05/04/2014,U,8100
81W,05/04/2014,U,449
82,05/04/2014,U,9353
84,05/04/2014,U,1503
85,05/04/2014,U,5234
87,05/04/2014,U,6406
88,05/04/2014,U,637
8A,05/04/2014,U,1973
9,05/04/2014,U,15075
90,05/04/2014,U,2304
91,05/04/2014,U,3199
92,05/04/2014,U,3281
94,05/04/2014,U,4009
95E,05/04/2014,U,1992
95W,05/04/2014,U,2099
97,05/04/2014,U,1596
J14,05/04/2014,U,4010
1,05/05/2014,W,1964
100,05/05/2014,W,704
1001,05/05/2014,W,163
103,05/05/2014,W,2645
106,05/05/2014,W,2373
108,05/05/2014,W,1606
11,05/05/2014,W,1761
111,05/05/2014,W,3846
111A,05/05/2014,W,236
112,05/05/2014,W,2753
115,05/05/2014,W,4152
119,05/05/2014,W,5736
12,05/05/2014,W,14832
120,05/05/2014,W,1201
121,05/05/2014,W,1521
124,05/05/2014,W,820
125,05/05/2014,W,1601
126,05/05/2014,W,7194
132,05/05/2014,W,322
134,05/05/2014,W,3416
135,05/05/2014,W,3938
136,05/05/2014,W,2263
143,05/05/2014,W,2091
146,05/05/2014,W,14971
147,05/05/2014,W,14439
148,05/05/2014,W,2538
15,05/05/2014,W,7817
151,05/05/2014,W,18401
152,05/05/2014,W,11530
155,05/05/2014,W,7393
156,05/05/2014,W,8518
157,05/05/2014,W,6172
165,05/05/2014,W,84
169,05/05/2014,W,219
170,05/05/2014,W,368
171,05/05/2014,W,2108
172,05/05/2014,W,2813
18,05/05/2014,W,4012
192,05/05/2014,W,906
2,05/05/2014,W,3524
20,05/05/2014,W,20811
201,05/05/2014,W,2001
205,05/05/2014,W,1000
206,05/05/2014,W,976
21,05/05/2014,W,9830
22,05/05/2014,W,22115
24,05/05/2014,W,3414
26,05/05/2014,W,3628
28,05/05/2014,W,8029
29,05/05/2014,W,15790
3,05/05/2014,W,20289
30,05/05/2014,W,3895
34,05/05/2014,W,5688
35,05/05/2014,W,5902
36,05/05/2014,W,14993
37,05/05/2014,W,1839
39,05/05/2014,W,2120
4,05/05/2014,W,23009
43,05/05/2014,W,2163
44,05/05/2014,W,4665
47,05/05/2014,W,11117
48,05/05/2014,W,1350
49,05/05/2014,W,26738
49B,05/05/2014,W,5991
5,05/05/2014,W,448
50,05/05/2014,W,10839
51,05/05/2014,W,1988
52,05/05/2014,W,14005
52A,05/05/2014,W,5084
53,05/05/2014,W,20699
53A,05/05/2014,W,9150
54,05/05/2014,W,11630
54A,05/05/2014,W,1013
54B,05/05/2014,W,3579
55,05/05/2014,W,11940
55A,05/05/2014,W,291
55N,05/05/2014,W,656
56,05/05/2014,W,10396
57,05/05/2014,W,5059
59,05/05/2014,W,3978
6,05/05/2014,W,11481
60,05/05/2014,W,11378
62,05/05/2014,W,11437
62H,05/05/2014,W,1096
63,05/05/2014,W,19765
63W,05/05/2014,W,1497
65,05/05/2014,W,8351
66,05/05/2014,W,25425
67,05/05/2014,W,14532
68,05/05/2014,W,1542
7,05/05/2014,W,6615
70,05/05/2014,W,10777
71,05/05/2014,W,9561
72,05/05/2014,W,17262
73,05/05/2014,W,4468
74,05/05/2014,W,14152
75,05/05/2014,W,8270
76,05/05/2014,W,12413
77,05/05/2014,W,23347
78,05/05/2014,W,10066
79,05/05/2014,W,27265
8,05/05/2014,W,24432
80,05/05/2014,W,14468
81,05/05/2014,W,14149
81W,05/05/2014,W,1840
82,05/05/2014,W,21001
84,05/05/2014,W,4464
85,05/05/2014,W,11969
85A,05/05/2014,W,910
86,05/05/2014,W,3271
87,05/05/2014,W,13910
88,05/05/2014,W,1357
8A,05/05/2014,W,3593
9,05/05/2014,W,28999
90,05/05/2014,W,5298
91,05/05/2014,W,7548
92,05/05/2014,W,7678
93,05/05/2014,W,3611
94,05/05/2014,W,10555
95E,05/05/2014,W,4161
95W,05/05/2014,W,2711
96,05/05/2014,W,845
97,05/05/2014,W,3446
J14,05/05/2014,W,12855
X98,05/05/2014,W,20
1,05/06/2014,W,2151
100,05/06/2014,W,723
1001,05/06/2014,W,57
103,05/06/2014,W,2976
106,05/06/2014,W,2294
108,05/06/2014,W,1513
11,05/06/2014,W,1850
111,05/06/2014,W,4349
111A,05/06/2014,W,217
112,05/06/2014,W,2781
115,05/06/2014,W,4477
119,05/06/2014,W,5231
12,05/06/2014,W,15620
120,05/06/2014,W,1160
121,05/06/2014,W,1646
124,05/06/2014,W,1091
125,05/06/2014,W,1736
126,05/06/2014,W,7140
132,05/06/2014,W,380
134,05/06/2014,W,3722
135,05/06/2014,W,3900
136,05/06/2014,W,2260
143,05/06/2014,W,2129
146,05/06/2014,W,15395
147,05/06/2014,W,15405
148,05/06/2014,W,2575
15,05/06/2014,W,7706
151,05/06/2014,W,18765
152,05/06/2014,W,11992
155,05/06/2014,W,7828
156,05/06/2014,W,8925
157,05/06/2014,W,6176
165,05/06/2014,W,108
169,05/06/2014,W,239
170,05/06/2014,W,325
171,05/06/2014,W,1818
172,05/06/2014,W,2302
18,05/06/2014,W,4294
192,05/06/2014,W,918
2,05/06/2014,W,3537
20,05/06/2014,W,20354
201,05/06/2014,W,1973
205,05/06/2014,W,998
206,05/06/2014,W,923
21,05/06/2014,W,10282
22,05/06/2014,W,21616
24,05/06/2014,W,3411
26,05/06/2014,W,3735
28,05/06/2014,W,8422
29,05/06/2014,W,15482
3,05/06/2014,W,21738
30,05/06/2014,W,3733
34,05/06/2014,W,5547
35,05/06/2014,W,5791
36,05/06/2014,W,15530
37,05/06/2014,W,1676
39,05/06/2014,W,2186
4,05/06/2014,W,24066
43,05/06/2014,W,1998
44,05/06/2014,W,4761
47,05/06/2014,W,10797
48,05/06/2014,W,1318
49,05/06/2014,W,27468
49B,05/06/2014,W,6027
5,05/06/2014,W,530
50,05/06/2014,W,11135
51,05/06/2014,W,2081
52,05/06/2014,W,13965
52A,05/06/2014,W,4994
53,05/06/2014,W,22078
53A,05/06/2014,W,9437
54,05/06/2014,W,12283
54A,05/06/2014,W,1058
54B,05/06/2014,W,3765
55,05/06/2014,W,12488
55A,05/06/2014,W,348
55N,05/06/2014,W,637
56,05/06/2014,W,9986
57,05/06/2014,W,5450
59,05/06/2014,W,4396
6,05/06/2014,W,11469
60,05/06/2014,W,11025
62,05/06/2014,W,11662
62H,05/06/2014,W,1155
63,05/06/2014,W,19604
63W,05/06/2014,W,1650
65,05/06/2014,W,9070
66,05/06/2014,W,25833
67,05/06/2014,W,13983
68,05/06/2014,W,1378
7,05/06/2014,W,6385
70,05/06/2014,W,9295
71,05/06/2014,W,9619
72,05/06/2014,W,16496
73,05/06/2014,W,4485
74,05/06/2014,W,13673
75,05/06/2014,W,8150
76,05/06/2014,W,13214
77,05/06/2014,W,23625
78,05/06/2014,W,9648
79,05/06/2014,W,29253
8,05/06/2014,W,24714
80,05/06/2014,W,14898
81,05/06/2014,W,14588
81W,05/06/2014,W,1851
82,05/06/2014,W,20752
84,05/06/2014,W,4272
85,05/06/2014,W,12173
85A,05/06/2014,W,968
86,05/06/2014,W,3183
87,05/06/2014,W,13882
88,05/06/2014,W,1389
8A,05/06/2014,W,3857
9,05/06/2014,W,29807
90,05/06/2014,W,5155
91,05/06/2014,W,7894
92,05/06/2014,W,7744
93,05/06/2014,W,3677
94,05/06/2014,W,11098
95E,05/06/2014,W,4307
95W,05/06/2014,W,2810
96,05/06/2014,W,860
97,05/06/2014,W,3377
J14,05/06/2014,W,13015
X98,05/06/2014,W,21
1,05/07/2014,W,2194
100,05/07/2014,W,820
1001,05/07/2014,W,20
103,05/07/2014,W,3033
106,05/07/2014,W,1875
108,05/07/2014,W,1481
11,05/07/2014,W,1863
111,05/07/2014,W,4135
111A,05/07/2014,W,222
112,05/07/2014,W,2749
115,05/07/2014,W,4302
119,05/07/2014,W,5360
12,05/07/2014,W,15302
120,05/07/2014,W,1116
121,05/07/2014,W,1665
124,05/07/2014,W,897
125,05/07/2014,W,1586
126,05/07/2014,W,7563
132,05/07/2014,W,391
134,05/07/2014,W,3544
135,05/07/2014,W,4144
136,05/07/2014,W,2078
143,05/07/2014,W,1957
146,05/07/2014,W,14967
147,05/07/2014,W,15138
148,05/07/2014,W,2654
15,05/07/2014,W,8212
151,05/07/2014,W,19059
152,05/07/2014,W,10600
155,05/07/2014,W,7550
156,05/07/2014,W,8778
157,05/07/2014,W,6559
165,05/07/2014,W,92
169,05/07/2014,W,241
170,05/07/2014,W,387
171,05/07/2014,W,667
172,05/07/2014,W,2883
18,05/07/2014,W,4303
192,05/07/2014,W,926
2,05/07/2014,W,3740
20,05/07/2014,W,20271
201,05/07/2014,W,1927
205,05/07/2014,W,994
206,05/07/2014,W,787
21,05/07/2014,W,9496
22,05/07/2014,W,20744
24,05/07/2014,W,3494
26,05/07/2014,W,3842
28,05/07/2014,W,8328
29,05/07/2014,W,16365
3,05/07/2014,W,20817
30,05/07/2014,W,3992
34,05/07/2014,W,5557
35,05/07/2014,W,6057
36,05/07/2014,W,15652
37,05/07/2014,W,1824
39,05/07/2014,W,2213
4,05/07/2014,W,23324
43,05/07/2014,W,2041
44,05/07/2014,W,4605
47,05/07/2014,W,11168
48,05/07/2014,W,1182
49,05/07/2014,W,26635
49B,05/07/2014,W,6051
5,05/07/2014,W,465
50,05/07/2014,W,11452
51,05/07/2014,W,1844
52,05/07/2014,W,14193
52A,05/07/2014,W,4689
53,05/07/2014,W,21672
53A,05/07/2014,W,8663
54,05/07/2014,W,12108
54A,05/07/2014,W,1060
54B,05/07/2014,W,3694
55,05/07/2014,W,12758
55A,05/07/2014,W,335
55N,05/07/2014,W,696
56,05/07/2014,W,10204
57,05/07/2014,W,5379
59,05/07/2014,W,4281
6,05/07/2014,W,11094
60,05/07/2014,W,11116
62,05/07/2014,W,10380
62H,05/07/2014,W,1125
63,05/07/2014,W,19517
63W,05/07/2014,W,1571
65,05/07/2014,W,8832
66,05/07/2014,W,26566
67,05/07/2014,W,13379
68,05/07/2014,W,1546
7,05/07/2014,W,5819
70,05/07/2014,W,10066
71,05/07/2014,W,9366
72,05/07/2014,W,16918
73,05/07/2014,W,4466
74,05/07/2014,W,14156
75,05/07/2014,W,8625
76,05/07/2014,W,13023
77,05/07/2014,W,23202
78,05/07/2014,W,10016
79,05/07/2014,W,28532
8,05/07/2014,W,24554
80,05/07/2014,W,14877
81,05/07/2014,W,13915
81W,05/07/2014,W,1752
82,05/07/2014,W,21449
84,05/07/2014,W,4665
85,05/07/2014,W,11493
85A,05/07/2014,W,902
86,05/07/2014,W,3306
87,05/07/2014,W,14396
88,05/07/2014,W,1435
8A,05/07/2014,W,3643
9,05/07/2014,W,28348
90,05/07/2014,W,5564
91,05/07/2014,W,8292
92,05/07/2014,W,7752
93,05/07/2014,W,3893
94,05/07/2014,W,10929
95E,05/07/2014,W,4202
95W,05/07/2014,W,2708
96,05/07/2014,W,938
97,05/07/2014,W,3454
J14,05/07/2014,W,12733
X98,05/07/2014,W,23
1,05/08/2014,W,2120
100,05/08/2014,W,867
1001,05/08/2014,W,39
103,05/08/2014,W,2896
106,05/08/2014,W,2035
108,05/08/2014,W,1468
11,05/08/2014,W,1787
111,05/08/2014,W,4223
111A,05/08/2014,W,173
112,05/08/2014,W,2279
115,05/08/2014,W,4140
119,05/08/2014,W,5491
12,05/08/2014,W,15445
120,05/08/2014,W,962
121,05/08/2014,W,1592
124,05/08/2014,W,1168
125,05/08/2014,W,1580
126,05/08/2014,W,6581
132,05/08/2014,W,361
134,05/08/2014,W,3303
135,05/08/2014,W,3858
136,05/08/2014,W,2192
143,05/08/2014,W,2016
146,05/08/2014,W,15773
147,05/08/2014,W,14729
148,05/08/2014,W,2383
15,05/08/2014,W,8416
151,05/08/2014,W,19696
152,05/08/2014,W,10847
155,05/08/2014,W,7639
156,05/08/2014,W,8107
157,05/08/2014,W,6011
165,05/08/2014,W,137
169,05/08/2014,W,254
170,05/08/2014,W,232
171,05/08/2014,W,1311
172,05/08/2014,W,2646
18,05/08/2014,W,4481
192,05/08/2014,W,713
2,05/08/2014,W,3873
20,05/08/2014,W,20601
201,05/08/2014,W,2092
205,05/08/2014,W,1021
206,05/08/2014,W,874
21,05/08/2014,W,9985
22,05/08/2014,W,21030
24,05/08/2014,W,3152
26,05/08/2014,W,3793
28,05/08/2014,W,8206
29,05/08/2014,W,15512
3,05/08/2014,W,21202
30,05/08/2014,W,3720
34,05/08/2014,W,5322
35,05/08/2014,W,6098
